feature,total_rows,changed_predictions,changed_percentage,accuracy_original,accuracy_transformed
afspraak_aantal_woorden,130000,168,0.0012923076923076922,0.9684692307692307,0.9682538461538461
afspraak_laatstejaar_aantal_woorden,130000,74,0.0005692307692307692,0.9684692307692307,0.968376923076923
belemmering_dagen_psychische_problemen,130000,84,0.0006461538461538461,0.9684692307692307,0.9682692307692308
belemmering_hist_psychische_problemen,130000,0,0.0,0.9684692307692307,0.9684692307692307
belemmering_hist_taal,130000,0,0.0,0.9684692307692307,0.9684692307692307
belemmering_psychische_problemen,130000,0,0.0,0.9684692307692307,0.9684692307692307
competentie_ethisch_en_integer_handelen,130000,18,0.00013846153846153847,0.9684692307692307,0.9685461538461538
competentie_gedrevenheid_en_ambitie_tonen,130000,50,0.0003846153846153846,0.9684692307692307,0.9686230769230769
competentie_met_druk_en_tegenslag_omgaan,130000,0,0.0,0.9684692307692307,0.9684692307692307
competentie_omgaan_met_verandering_en_aanpassen,130000,14,0.0001076923076923077,0.9684692307692307,0.9684692307692307
contacten_onderwerp_beoordelen_taaleis,130000,1040,0.008,0.9684692307692307,0.9643769230769231
contacten_onderwerp_boolean_beoordelen_taaleis,130000,10,7.692307692307693e-05,0.9684692307692307,0.9684230769230769
contacten_onderwerp_boolean_taaleis___voldoet,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoon_geslacht_vrouw,130000,1062,0.008169230769230769,0.9684692307692307,0.9658076923076923
persoon_leeftijd_bij_onderzoek,130000,11667,0.08974615384615385,0.9684692307692307,0.9005230769230769
persoonlijke_eigenschappen_communicatie_opm,130000,52,0.0004,0.9684692307692307,0.9685461538461538
persoonlijke_eigenschappen_doorzettingsvermogen_opm,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_flexibiliteit_opm,130000,49,0.00037692307692307694,0.9684692307692307,0.9684461538461538
persoonlijke_eigenschappen_hobbies_sport,130000,60,0.00046153846153846153,0.9684692307692307,0.9683
persoonlijke_eigenschappen_houding_opm,130000,71,0.0005461538461538462,0.9684692307692307,0.9684
persoonlijke_eigenschappen_initiatief_opm,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_leergierigheid_opm,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_motivatie_opm,130000,11,8.461538461538461e-05,0.9684692307692307,0.9684615384615385
persoonlijke_eigenschappen_nl_begrijpen3,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_lezen3,130000,3,2.3076923076923076e-05,0.9684692307692307,0.9684461538461538
persoonlijke_eigenschappen_nl_lezen4,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_schrijven0,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_schrijven1,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_schrijven2,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_schrijven3,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_schrijvenfalse,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_spreken1,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_spreken2,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_nl_spreken3,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_presentatie_opm,130000,6,4.615384615384615e-05,0.9684692307692307,0.9684538461538461
persoonlijke_eigenschappen_spreektaal,130000,981,0.0075461538461538465,0.9684692307692307,0.964
persoonlijke_eigenschappen_spreektaal_anders,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_taaleis_schrijfv_ok,130000,0,0.0,0.9684692307692307,0.9684692307692307
persoonlijke_eigenschappen_taaleis_voldaan,130000,1522,0.011707692307692308,0.9684692307692307,0.9634538461538461
persoonlijke_eigenschappen_uiterlijke_verzorging_opm,130000,492,0.0037846153846153845,0.9684692307692307,0.9677923076923077
persoonlijke_eigenschappen_uitstroom_verw_vlgs_klant,130000,339,0.002607692307692308,0.9684692307692307,0.9677846153846154
persoonlijke_eigenschappen_uitstroom_verw_vlgs_km,130000,890,0.006846153846153846,0.9684692307692307,0.9667153846153846
persoonlijke_eigenschappen_zelfstandigheid_opm,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_kind_basisschool_kind,130000,41,0.0003153846153846154,0.9684692307692307,0.9684769230769231
relatie_kind_heeft_kinderen,130000,258,0.0019846153846153846,0.9684692307692307,0.9683307692307692
relatie_kind_huidige_aantal,130000,2504,0.019261538461538462,0.9684692307692307,0.9606692307692307
relatie_kind_jongvolwassen,130000,2803,0.021561538461538462,0.9684692307692307,0.9662615384615385
relatie_kind_leeftijd_verschil_ouder_eerste_kind,130000,690,0.0053076923076923075,0.9684692307692307,0.968176923076923
relatie_kind_tiener,130000,256,0.001969230769230769,0.9684692307692307,0.9686538461538462
relatie_kind_volwassen,130000,0,0.0,0.9684692307692307,0.9684692307692307
