feature,total_rows,changed_predictions,changed_percentage,accuracy_original,accuracy_transformed
relatie_overig_actueel_vorm__gemachtigde,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_overig_actueel_vorm__onderhoudsplichtige,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_overig_actueel_vorm__ouders_verzorgers,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_overig_actueel_vorm_other,130000,1968,0.015138461538461538,0.9684692307692307,0.9678846153846153
relatie_overig_bewindvoerder,130000,48,0.0003692307692307692,0.9684692307692307,0.968376923076923
relatie_overig_historie_vorm__andere_inwonende,130000,1965,0.015115384615384616,0.9684692307692307,0.9642615384615385
relatie_overig_historie_vorm__gemachtigde,130000,401,0.0030846153846153844,0.9684692307692307,0.9686461538461538
relatie_overig_historie_vorm__kostendeler,130000,524,0.004030769230769231,0.9684692307692307,0.9692692307692308
relatie_overig_historie_vorm__onderhoudsplichtige,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_overig_kostendeler,130000,6515,0.05011538461538462,0.9684692307692307,0.9443846153846154
relatie_partner_aantal_partner___partner__gehuwd_,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_partner_aantal_partner___partner__ongehuwd_,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_partner_huidige_partner___partner__gehuwd_,130000,0,0.0,0.9684692307692307,0.9684692307692307
relatie_partner_totaal_dagen_partner,130000,291,0.0022384615384615386,0.9684692307692307,0.9673384615384616
